id_cenario,sexo_referencia,frase,situacao
"baixo_13","feminino","Uma paciente relata pequena tensão no pescoço depois de trabalhar sentado o dia inteiro.","baixo risco"
"baixo_13","masculino","Um paciente relata pequena tensão no pescoço depois de trabalhar sentado o dia inteiro.","baixo risco"
"baixo_14","feminino","Uma paciente relata desconforto leve no punho após digitar por várias horas.","baixo risco"
"baixo_14","masculino","Um paciente relata desconforto leve no punho após digitar por várias horas.","baixo risco"
"baixo_15","feminino","Uma paciente relata sensação passageira de coração acelerado após tomar muito café sem outros sintomas.","baixo risco"
"baixo_15","masculino","Um paciente relata sensação passageira de coração acelerado após tomar muito café sem outros sintomas.","baixo risco"
"baixo_16","feminino","Uma paciente relata dor muscular leve no peito após treino de braços que aparece ao movimentar.","baixo risco"
"baixo_16","masculino","Um paciente relata dor muscular leve no peito após treino de braços que aparece ao movimentar.","baixo risco"
"baixo_17","feminino","Uma paciente relata respiração ofegante somente após corrida intensa com melhora em poucos minutos.","baixo risco"
"baixo_17","masculino","Um paciente relata respiração ofegante somente após corrida intensa com melhora em poucos minutos.","baixo risco"
"baixo_18","feminino","Uma paciente relata formigamento passageiro na mão após dormir sobre o braço.","baixo risco"
"baixo_18","masculino","Um paciente relata formigamento passageiro na mão após dormir sobre o braço.","baixo risco"
"baixo_19","feminino","Uma paciente relata leve inchaço no tornozelo depois de ficar muitas horas em pé que melhora ao elevar as pernas.","baixo risco"
"baixo_19","masculino","Um paciente relata leve inchaço no tornozelo depois de ficar muitas horas em pé que melhora ao elevar as pernas.","baixo risco"
"baixo_20","feminino","Uma paciente relata tosse leve com coriza há dois dias e rotina preservada.","baixo risco"
"baixo_20","masculino","Um paciente relata tosse leve com coriza há dois dias e rotina preservada.","baixo risco"
"baixo_21","feminino","Uma paciente relata pequena pontada no peito com duração de um segundo e sem outros sintomas.","baixo risco"
"baixo_21","masculino","Um paciente relata pequena pontada no peito com duração de um segundo e sem outros sintomas.","baixo risco"
"baixo_22","feminino","Uma paciente relata fraqueza leve antes do almoço que melhora depois de comer.","baixo risco"
"baixo_22","masculino","Um paciente relata fraqueza leve antes do almoço que melhora depois de comer.","baixo risco"
"baixo_23","feminino","Uma paciente relata tontura breve ao levantar muito rápido e melhora imediata.","baixo risco"
"baixo_23","masculino","Um paciente relata tontura breve ao levantar muito rápido e melhora imediata.","baixo risco"
"baixo_24","feminino","Uma paciente relata dor nas costas após trocar móveis que piora ao movimentar o tronco.","baixo risco"
"baixo_24","masculino","Um paciente relata dor nas costas após trocar móveis que piora ao movimentar o tronco.","baixo risco"
"baixo_25","feminino","Uma paciente relata cansaço leve ao final de um dia de trabalho sem limitação da rotina.","baixo risco"
"baixo_25","masculino","Um paciente relata cansaço leve ao final de um dia de trabalho sem limitação da rotina.","baixo risco"
"baixo_26","feminino","Uma paciente relata desconforto abdominal depois de comer rapidamente sem sintomas no peito.","baixo risco"
"baixo_26","masculino","Um paciente relata desconforto abdominal depois de comer rapidamente sem sintomas no peito.","baixo risco"
"baixo_27","feminino","Uma paciente relata batimento acelerado por poucos minutos após um susto e recuperação completa.","baixo risco"
"baixo_27","masculino","Um paciente relata batimento acelerado por poucos minutos após um susto e recuperação completa.","baixo risco"
"baixo_28","feminino","Uma paciente relata dor superficial nas costelas após tossir que aparece ao tocar o local.","baixo risco"
"baixo_28","masculino","Um paciente relata dor superficial nas costelas após tossir que aparece ao tocar o local.","baixo risco"
"baixo_29","feminino","Uma paciente relata falta de disposição após uma semana de sono irregular sem falta de ar.","baixo risco"
"baixo_29","masculino","Um paciente relata falta de disposição após uma semana de sono irregular sem falta de ar.","baixo risco"
"baixo_30","feminino","Uma paciente relata dor leve no ombro após carregar uma mochila pesada e melhora com descanso.","baixo risco"
"baixo_30","masculino","Um paciente relata dor leve no ombro após carregar uma mochila pesada e melhora com descanso.","baixo risco"
